Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 48, 0.02000, 0.000000e+00
my_dgemm, 500, 48, 0.30000, 7.217074e-16
step01, 500, 48, 0.12000, 7.217074e-16
step02, 500, 48, 0.12000, 7.217074e-16
step03, 500, 48, 0.10000, 7.217074e-16
step04, 500, 48, 0.10000, 7.217074e-16
step05, 500, 48, 0.05000, 7.217074e-16
atlas, 1000, 48, 0.15000, 0.000000e+00
my_dgemm, 1000, 48, 6.62000, 1.293065e-15
step01, 1000, 48, 0.95000, 1.293065e-15
step02, 1000, 48, 0.93000, 1.293065e-15
step03, 1000, 48, 0.80000, 1.293065e-15
step04, 1000, 48, 0.87000, 1.293065e-15
step05, 1000, 48, 0.41000, 1.293065e-15
atlas, 1500, 48, 0.50000, 0.000000e+00
my_dgemm, 1500, 48, 23.62000, 1.895882e-15
step01, 1500, 48, 3.22000, 1.895882e-15
step02, 1500, 48, 3.15000, 1.895882e-15
step03, 1500, 48, 2.77000, 1.895882e-15
step04, 1500, 48, 3.00000, 1.895882e-15
step05, 1500, 48, 1.44000, 1.895882e-15
atlas, 2000, 48, 1.17000, 0.000000e+00
my_dgemm, 2000, 48, 63.04000, 3.054004e-15
step01, 2000, 48, 7.62000, 3.054004e-15
step02, 2000, 48, 7.47000, 3.054004e-15
step03, 2000, 48, 6.52000, 3.054004e-15
step04, 2000, 48, 7.07000, 3.054004e-15
step05, 2000, 48, 3.27000, 3.054004e-15
atlas, 2500, 48, 2.28000, 0.000000e+00
my_dgemm, 2500, 48, 125.20000, 4.163602e-15
step01, 2500, 48, 14.91000, 4.163602e-15
step02, 2500, 48, 14.51000, 4.163602e-15
step03, 2500, 48, 12.62000, 4.163602e-15
step04, 2500, 48, 13.72000, 4.163602e-15
step05, 2500, 48, 6.37000, 4.163602e-15
atlas, 3000, 48, 3.96000, 0.000000e+00
my_dgemm, 3000, 48, 238.89000, 4.884417e-15
step01, 3000, 48, 25.77000, 4.884417e-15
step02, 3000, 48, 25.29000, 4.884417e-15
step03, 3000, 48, 21.90000, 4.884417e-15
step04, 3000, 48, 23.69000, 4.884417e-15
step05, 3000, 48, 11.05000, 4.884417e-15
atlas, 3500, 48, 6.25000, 0.000000e+00
my_dgemm, 3500, 48, 400.65000, 4.991261e-15
step01, 3500, 48, 41.18000, 4.991261e-15
step02, 3500, 48, 39.78000, 4.991261e-15
step03, 3500, 48, 36.25000, 4.991261e-15
step04, 3500, 48, 38.44000, 4.991261e-15
step05, 3500, 48, 19.20000, 4.991261e-15
atlas, 4000, 48, 9.35000, 0.000000e+00
my_dgemm, 4000, 48, 640.18000, 7.503540e-15
step01, 4000, 48, 62.46000, 7.503540e-15
step02, 4000, 48, 59.69000, 7.503540e-15
step03, 4000, 48, 52.71000, 7.503540e-15
step04, 4000, 48, 57.10000, 7.503540e-15
step05, 4000, 48, 26.28000, 7.503540e-15
atlas, 4500, 48, 13.31000, 0.000000e+00
my_dgemm, 4500, 48, 921.68000, 8.565339e-15
step01, 4500, 48, 89.61000, 8.565339e-15
step02, 4500, 48, 84.41000, 8.565339e-15
step03, 4500, 48, 74.13000, 8.565339e-15
step04, 4500, 48, 80.26000, 8.565339e-15
step05, 4500, 48, 38.80000, 8.565339e-15
atlas, 5000, 48, 18.22000, 0.000000e+00
my_dgemm, 5000, 48, 1276.97000, 7.517267e-15
step01, 5000, 48, 124.51000, 7.517267e-15
step02, 5000, 48, 116.97000, 7.517267e-15
step03, 5000, 48, 101.35000, 7.517267e-15
step04, 5000, 48, 109.89000, 7.517267e-15
step05, 5000, 48, 50.73000, 7.517267e-15
