Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 48, 0.02000, 0.000000e+00
my_dgemm, 500, 48, 0.14000, 7.217074e-16
step01, 500, 48, 0.10000, 7.217074e-16
step02, 500, 48, 0.11000, 7.217074e-16
step03, 500, 48, 0.12000, 7.217074e-16
step04, 500, 48, 0.10000, 7.217074e-16
step05, 500, 48, 0.05000, 7.217074e-16
atlas, 1000, 48, 0.15000, 0.000000e+00
my_dgemm, 1000, 48, 6.38000, 1.293065e-15
step01, 1000, 48, 0.87000, 1.293065e-15
step02, 1000, 48, 0.84000, 1.293065e-15
step03, 1000, 48, 0.91000, 1.293065e-15
step04, 1000, 48, 0.80000, 1.293065e-15
step05, 1000, 48, 0.37000, 1.293065e-15
atlas, 1500, 48, 0.50000, 0.000000e+00
my_dgemm, 1500, 48, 22.49000, 1.895882e-15
step01, 1500, 48, 2.92000, 1.895882e-15
step02, 1500, 48, 2.89000, 1.895882e-15
step03, 1500, 48, 3.07000, 1.895882e-15
step04, 1500, 48, 2.74000, 1.895882e-15
step05, 1500, 48, 1.32000, 1.895882e-15
atlas, 2000, 48, 1.17000, 0.000000e+00
my_dgemm, 2000, 48, 59.24000, 3.054004e-15
step01, 2000, 48, 6.91000, 3.054004e-15
step02, 2000, 48, 6.84000, 3.054004e-15
step03, 2000, 48, 7.31000, 3.054004e-15
step04, 2000, 48, 6.50000, 3.054004e-15
step05, 2000, 48, 3.00000, 3.054004e-15
atlas, 2500, 48, 2.29000, 0.000000e+00
my_dgemm, 2500, 48, 115.87000, 4.163602e-15
step01, 2500, 48, 13.55000, 4.163602e-15
step02, 2500, 48, 13.29000, 4.163602e-15
step03, 2500, 48, 14.19000, 4.163602e-15
step04, 2500, 48, 12.54000, 4.163602e-15
step05, 2500, 48, 5.89000, 4.163602e-15
atlas, 3000, 48, 3.95000, 0.000000e+00
my_dgemm, 3000, 48, 227.53000, 4.884417e-15
step01, 3000, 48, 23.39000, 4.884417e-15
step02, 3000, 48, 23.18000, 4.884417e-15
step03, 3000, 48, 24.48000, 4.884417e-15
step04, 3000, 48, 21.83000, 4.884417e-15
step05, 3000, 48, 10.13000, 4.884417e-15
atlas, 3500, 48, 6.26000, 0.000000e+00
my_dgemm, 3500, 48, 369.48000, 4.991261e-15
step01, 3500, 48, 37.31000, 4.991261e-15
step02, 3500, 48, 36.45000, 4.991261e-15
step03, 3500, 48, 40.25000, 4.991261e-15
step04, 3500, 48, 35.44000, 4.991261e-15
step05, 3500, 48, 17.40000, 4.991261e-15
atlas, 4000, 48, 9.34000, 0.000000e+00
my_dgemm, 4000, 48, 567.72000, 7.503540e-15
step01, 4000, 48, 56.63000, 7.503540e-15
step02, 4000, 48, 54.32000, 7.503540e-15
step03, 4000, 48, 58.11000, 7.503540e-15
step04, 4000, 48, 52.54000, 7.503540e-15
step05, 4000, 48, 24.19000, 7.503540e-15
atlas, 4500, 48, 13.31000, 0.000000e+00
my_dgemm, 4500, 48, 845.82000, 8.565339e-15
step01, 4500, 48, 82.40000, 8.565339e-15
step02, 4500, 48, 77.88000, 8.565339e-15
step03, 4500, 48, 83.11000, 8.565339e-15
step04, 4500, 48, 73.60000, 8.565339e-15
step05, 4500, 48, 35.74000, 8.565339e-15
atlas, 5000, 48, 18.22000, 0.000000e+00
my_dgemm, 5000, 48, 1173.68000, 7.517267e-15
step01, 5000, 48, 113.38000, 7.517267e-15
step02, 5000, 48, 107.25000, 7.517267e-15
step03, 5000, 48, 113.30000, 7.517267e-15
step04, 5000, 48, 100.96000, 7.517267e-15
step05, 5000, 48, 46.57000, 7.517267e-15
