Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 47, 0.02000, 0.0000000000
my_dgemm, 500, 47, 0.15000, 0.0000000000
step01, 500, 47, 0.09000, 0.0000000000
step02, 500, 47, 0.10000, 0.0000000000
step03, 500, 47, 0.11000, 0.0000000000
step04, 500, 47, 0.11000, 0.0000000000
step05, 500, 47, 0.05000, 0.0013849106
atlas, 1000, 47, 0.15000, 0.0000000000
my_dgemm, 1000, 47, 6.39000, 0.0000000000
step01, 1000, 47, 0.78000, 0.0000000000
step02, 1000, 47, 0.80000, 0.0000000000
step03, 1000, 47, 0.90000, 0.0000000000
step04, 1000, 47, 0.83000, 0.0000000000
step05, 1000, 47, 0.44000, 0.0020787774
atlas, 1500, 47, 0.50000, 0.0000000000
my_dgemm, 1500, 47, 22.67000, 0.0000000000
step01, 1500, 47, 2.63000, 0.0000000000
step02, 1500, 47, 2.74000, 0.0000000000
step03, 1500, 47, 3.06000, 0.0000000000
step04, 1500, 47, 2.79000, 0.0000000000
step05, 1500, 47, 1.54000, 0.0011189515
atlas, 2000, 47, 1.17000, 0.0000000000
my_dgemm, 2000, 47, 58.89000, 0.0000000000
step01, 2000, 47, 6.27000, 0.0000000000
step02, 2000, 47, 6.49000, 0.0000000000
step03, 2000, 47, 7.24000, 0.0000000000
step04, 2000, 47, 6.60000, 0.0000000000
step05, 2000, 47, 3.55000, 0.0030868100
atlas, 2500, 47, 2.28000, 0.0000000000
my_dgemm, 2500, 47, 125.56000, 0.0000000000
step01, 2500, 47, 12.21000, 0.0000000000
step02, 2500, 47, 12.62000, 0.0000000000
step03, 2500, 47, 14.06000, 0.0000000000
step04, 2500, 47, 12.82000, 0.0000000000
step05, 2500, 47, 6.90000, 0.0011154530
atlas, 3000, 47, 3.96000, 0.0000000000
my_dgemm, 3000, 47, 238.39000, 0.0000000000
step01, 3000, 47, 21.33000, 0.0000000000
step02, 3000, 47, 22.02000, 0.0000000000
step03, 3000, 47, 24.33000, 0.0000000000
step04, 3000, 47, 22.22000, 0.0000000000
step05, 3000, 47, 12.00000, 0.0019778338
atlas, 3500, 47, 6.27000, 0.0000000000
my_dgemm, 3500, 47, 391.84000, 0.0000000000
step01, 3500, 47, 34.01000, 0.0000000000
step02, 3500, 47, 34.60000, 0.0000000000
step03, 3500, 47, 40.38000, 0.0000000000
step04, 3500, 47, 36.34000, 0.0000000000
step05, 3500, 47, 20.12000, 0.0011002015
atlas, 4000, 47, 9.34000, 0.0000000000
my_dgemm, 4000, 47, 573.10000, 0.0000000000
step01, 4000, 47, 51.40000, 0.0000000000
step02, 4000, 47, 51.40000, 0.0000000000
step03, 4000, 47, 57.91000, 0.0000000000
step04, 4000, 47, 53.50000, 0.0000000000
step05, 4000, 47, 28.92000, 0.0042995451
atlas, 4500, 47, 13.30000, 0.0000000000
my_dgemm, 4500, 47, 843.39000, 0.0000000000
step01, 4500, 47, 74.33000, 0.0000000000
step02, 4500, 47, 73.78000, 0.0000000000
step03, 4500, 47, 82.71000, 0.0000000000
step04, 4500, 47, 75.15000, 0.0000000000
step05, 4500, 47, 41.32000, 0.0010980121
atlas, 5000, 47, 18.21000, 0.0000000000
my_dgemm, 5000, 47, 1162.35000, 0.0000000000
step01, 5000, 47, 105.06000, 0.0000000000
step02, 5000, 47, 101.98000, 0.0000000000
step03, 5000, 47, 112.50000, 0.0000000000
step04, 5000, 47, 103.20000, 0.0000000000
step05, 5000, 47, 55.15000, 0.0019802941
