Iteration #, Size of Array, Size of Tiles, Time (Seconds), Error
1, 500, 7, 0.54, 0.00000
1, 500, 8, 0.53, 0.00000
1, 500, 9, 0.52, 0.00000
1, 500, 10, 0.51, 0.00000
1, 500, 11, 0.52, 0.00000
1, 500, 12, 0.51, 0.00000
1, 500, 13, 0.51, 0.00000
1, 500, 14, 0.50, 0.00000
1, 500, 15, 0.50, 0.00000
1, 500, 16, 0.49, 0.00000
1, 500, 17, 0.49, 0.00000
1, 500, 18, 0.50, 0.00000
1, 500, 19, 0.52, 0.00000
1, 500, 20, 0.49, 0.00000
1, 500, 21, 0.49, 0.00000
1, 500, 22, 0.49, 0.00000
1, 500, 23, 0.48, 0.00000
1, 500, 24, 0.49, 0.00000
2, 1000, 7, 4.43, 0.00000
2, 1000, 8, 4.27, 0.00000
2, 1000, 9, 4.21, 0.00000
2, 1000, 10, 4.20, 0.00000
2, 1000, 11, 4.14, 0.00000
2, 1000, 12, 4.09, 0.00000
2, 1000, 13, 4.06, 0.00000
2, 1000, 14, 4.03, 0.00000
2, 1000, 15, 4.01, 0.00000
2, 1000, 16, 3.98, 0.00000
2, 1000, 17, 3.98, 0.00000
2, 1000, 18, 4.00, 0.00000
2, 1000, 19, 4.19, 0.00000
2, 1000, 20, 3.96, 0.00000
2, 1000, 21, 3.96, 0.00000
2, 1000, 22, 3.95, 0.00000
2, 1000, 23, 3.94, 0.00000
2, 1000, 24, 3.92, 0.00000
3, 1500, 7, 15.12, 0.00000
3, 1500, 8, 14.60, 0.00000
3, 1500, 9, 14.28, 0.00000
3, 1500, 10, 14.21, 0.00000
3, 1500, 11, 14.04, 0.00000
3, 1500, 12, 13.94, 0.00000
3, 1500, 13, 13.80, 0.00000
3, 1500, 14, 13.65, 0.00000
3, 1500, 15, 13.56, 0.00000
3, 1500, 16, 13.52, 0.00000
3, 1500, 17, 13.52, 0.00000
3, 1500, 18, 13.56, 0.00000
3, 1500, 19, 14.18, 0.00000
3, 1500, 20, 13.38, 0.00000
3, 1500, 21, 13.40, 0.00000
3, 1500, 22, 13.38, 0.00000
3, 1500, 23, 13.32, 0.00000
3, 1500, 24, 13.26, 0.00000
4, 2000, 7, 36.11, 0.00000
4, 2000, 8, 34.69, 0.00000
4, 2000, 9, 34.03, 0.00000
4, 2000, 10, 33.90, 0.00000
4, 2000, 11, 33.44, 0.00000
4, 2000, 12, 33.48, 0.00000
4, 2000, 13, 32.87, 0.00000
4, 2000, 14, 32.49, 0.00000
4, 2000, 15, 32.29, 0.00000
4, 2000, 16, 31.86, 0.00000
4, 2000, 17, 32.06, 0.00000
4, 2000, 18, 32.19, 0.00000
4, 2000, 19, 33.77, 0.00000
4, 2000, 20, 31.82, 0.00000
4, 2000, 21, 31.86, 0.00000
4, 2000, 22, 31.77, 0.00000
4, 2000, 23, 31.68, 0.00000
4, 2000, 24, 31.57, 0.00000
5, 2500, 7, 70.72, 0.00000
5, 2500, 8, 68.12, 0.00000
5, 2500, 9, 66.57, 0.00000
5, 2500, 10, 66.23, 0.00000
5, 2500, 11, 65.49, 0.00000
5, 2500, 12, 65.06, 0.00000
5, 2500, 13, 64.29, 0.00000
5, 2500, 14, 63.53, 0.00000
5, 2500, 15, 63.03, 0.00000
5, 2500, 16, 62.79, 0.00000
5, 2500, 17, 62.70, 0.00000
5, 2500, 18, 62.93, 0.00000
5, 2500, 19, 65.97, 0.00000
5, 2500, 20, 62.09, 0.00000
5, 2500, 21, 62.16, 0.00000
5, 2500, 22, 61.98, 0.00000
5, 2500, 23, 61.77, 0.00000
5, 2500, 24, 61.55, 0.00000
