Iteration #, Size of Array, Size of Tiles, Time (Seconds)
1, 500, 2, 0.41
1, 500, 3, 0.42
1, 500, 4, 0.42
1, 500, 5, 0.41
1, 500, 6, 0.42
1, 500, 7, 0.42
1, 500, 8, 0.42
1, 500, 9, 0.43
1, 500, 10, 0.44
1, 500, 11, 0.44
1, 500, 12, 0.44
1, 500, 13, 0.43
1, 500, 14, 0.45
1, 500, 15, 0.44
1, 500, 16, 0.45
1, 500, 17, 0.45
1, 500, 18, 0.45
1, 500, 19, 0.45
1, 500, 20, 0.47
1, 500, 21, 0.45
1, 500, 22, 0.45
1, 500, 23, 0.46
1, 500, 24, 0.46
1, 500, 25, 0.46
1, 500, 26, 0.46
1, 500, 27, 0.46
1, 500, 28, 0.44
1, 500, 29, 0.46
1, 500, 30, 0.46
1, 500, 31, 0.46
1, 500, 32, 0.47
1, 500, 33, 0.46
1, 500, 34, 0.48
1, 500, 35, 0.45
1, 500, 36, 0.47
1, 500, 37, 0.46
1, 500, 38, 0.47
1, 500, 39, 0.48
1, 500, 40, 0.47
1, 500, 41, 0.48
1, 500, 42, 0.46
1, 500, 43, 0.48
1, 500, 44, 0.47
1, 500, 45, 0.47
1, 500, 46, 0.46
1, 500, 47, 0.47
1, 500, 48, 0.47
1, 500, 49, 0.46
1, 500, 50, 0.47
1, 500, 51, 0.47
1, 500, 52, 0.47
1, 500, 53, 0.48
1, 500, 54, 0.47
1, 500, 55, 0.47
1, 500, 56, 0.46
1, 500, 57, 0.48
1, 500, 58, 0.47
1, 500, 59, 0.47
1, 500, 60, 0.48
1, 500, 61, 0.47
1, 500, 62, 0.48
1, 500, 63, 0.46
1, 500, 64, 0.48
1, 500, 65, 0.47
1, 500, 66, 0.48
1, 500, 67, 0.47
1, 500, 68, 0.48
1, 500, 69, 0.47
1, 500, 70, 0.48
1, 500, 71, 0.47
1, 500, 72, 0.48
1, 500, 73, 0.48
1, 500, 74, 0.48
1, 500, 75, 0.48
1, 500, 76, 0.49
1, 500, 77, 0.49
1, 500, 78, 0.47
1, 500, 79, 0.49
1, 500, 80, 0.49
1, 500, 81, 0.49
1, 500, 82, 0.49
1, 500, 83, 0.48
1, 500, 84, 0.48
1, 500, 85, 0.49
1, 500, 86, 0.49
1, 500, 87, 0.49
1, 500, 88, 0.48
1, 500, 89, 0.49
1, 500, 90, 0.48
1, 500, 91, 0.47
1, 500, 92, 0.49
1, 500, 93, 0.48
1, 500, 94, 0.48
1, 500, 95, 0.48
1, 500, 96, 0.49
1, 500, 97, 0.49
1, 500, 98, 0.48
1, 500, 99, 0.49
1, 500, 100, 0.49
1, 500, 101, 0.49
1, 500, 102, 0.49
1, 500, 103, 0.49
1, 500, 104, 0.49
1, 500, 105, 0.48
1, 500, 106, 0.50
1, 500, 107, 0.49
1, 500, 108, 0.49
1, 500, 109, 0.49
1, 500, 110, 0.49
1, 500, 111, 0.49
1, 500, 112, 0.48
1, 500, 113, 0.49
1, 500, 114, 0.49
1, 500, 115, 0.50
1, 500, 116, 0.49
1, 500, 117, 0.49
1, 500, 118, 0.49
1, 500, 119, 0.48
1, 500, 120, 0.50
1, 500, 121, 0.49
1, 500, 122, 0.49
1, 500, 123, 0.49
1, 500, 124, 0.49
1, 500, 125, 0.50
1, 500, 126, 0.48
1, 500, 127, 0.49
1, 500, 128, 0.50
1, 500, 129, 0.49
1, 500, 130, 0.49
1, 500, 131, 0.50
1, 500, 132, 0.48
1, 500, 133, 0.49
1, 500, 134, 0.50
1, 500, 135, 0.49
1, 500, 136, 0.49
1, 500, 137, 0.49
1, 500, 138, 0.49
1, 500, 139, 0.49
1, 500, 140, 0.49
1, 500, 141, 0.49
1, 500, 142, 0.49
1, 500, 143, 0.49
1, 500, 144, 0.49
1, 500, 145, 0.49
1, 500, 146, 0.49
1, 500, 147, 0.49
1, 500, 148, 0.49
1, 500, 149, 0.49
1, 500, 150, 0.49
1, 500, 151, 0.49
1, 500, 152, 0.49
1, 500, 153, 0.48
1, 500, 154, 0.49
1, 500, 155, 0.49
1, 500, 156, 0.49
1, 500, 157, 0.49
1, 500, 158, 0.49
1, 500, 159, 0.49
1, 500, 160, 0.48
1, 500, 161, 0.49
1, 500, 162, 0.49
1, 500, 163, 0.50
1, 500, 164, 0.49
1, 500, 165, 0.49
1, 500, 166, 0.49
1, 500, 167, 0.48
1, 500, 168, 0.49
1, 500, 169, 0.49
1, 500, 170, 0.50
1, 500, 171, 0.49
1, 500, 172, 0.49
1, 500, 173, 0.49
1, 500, 174, 0.48
1, 500, 175, 0.50
1, 500, 176, 0.49
1, 500, 177, 0.49
1, 500, 178, 0.49
1, 500, 179, 0.49
1, 500, 180, 0.49
1, 500, 181, 0.49
1, 500, 182, 0.49
1, 500, 183, 0.49
1, 500, 184, 0.49
1, 500, 185, 0.50
1, 500, 186, 0.49
1, 500, 187, 0.48
1, 500, 188, 0.49
1, 500, 189, 0.49
1, 500, 190, 0.50
1, 500, 191, 0.49
1, 500, 192, 0.49
1, 500, 193, 0.49
1, 500, 194, 0.48
1, 500, 195, 0.50
1, 500, 196, 0.49
1, 500, 197, 0.49
1, 500, 198, 0.49
1, 500, 199, 0.49
1, 500, 200, 0.50
1, 500, 201, 0.48
1, 500, 202, 0.49
1, 500, 203, 0.49
1, 500, 204, 0.49
1, 500, 205, 0.49
1, 500, 206, 0.49
1, 500, 207, 0.49
1, 500, 208, 0.48
1, 500, 209, 0.49
