Iteration #, Size of Array, Size of Tiles, Time (Seconds), Error
1, 500, 7, 0.42, 0.13302
1, 500, 8, 0.42, 0.11316
1, 500, 9, 0.43, 0.31850
1, 500, 10, 0.43, 0.46007
2, 1000, 7, 3.44, 0.13089
2, 1000, 8, 3.44, 0.11880
2, 1000, 9, 3.46, 0.32257
2, 1000, 10, 3.48, 0.46275
3, 1500, 7, 11.83, 0.13150
3, 1500, 8, 11.84, 0.11362
3, 1500, 9, 11.81, 0.31910
3, 1500, 10, 11.86, 0.46046
4, 2000, 7, 29.24, 0.13087
4, 2000, 8, 28.81, 0.11854
4, 2000, 9, 28.75, 0.32256
4, 2000, 10, 28.71, 0.46276
5, 2500, 7, 55.58, 0.13119
5, 2500, 8, 55.42, 0.11373
5, 2500, 9, 55.22, 0.31923
5, 2500, 10, 55.29, 0.46054
6, 3000, 7, 96.03, 0.13083
6, 3000, 8, 94.88, 0.11844
6, 3000, 9, 95.36, 0.32257
6, 3000, 10, 95.47, 0.46274
7, 3500, 7, 153.23, 0.13040
7, 3500, 8, 152.31, 0.11395
7, 3500, 9, 151.73, 0.31940
7, 3500, 10, 151.91, 0.46066
8, 4000, 7, 237.39, 0.13080
8, 4000, 8, 232.91, 0.11849
8, 4000, 9, 231.93, 0.32261
8, 4000, 10, 231.25, 0.46281
9, 4500, 7, 327.15, 0.13048
9, 4500, 8, 325.08, 0.11394
9, 4500, 9, 323.31, 0.31940
9, 4500, 10, 323.52, 0.46066
10, 5000, 7, 449.78, 0.13078
10, 5000, 8, 443.76, 0.11842
10, 5000, 9, 444.42, 0.32261
10, 5000, 10, 444.86, 0.46276
